Show,Sentiment,Review
Bodyguard,1,"This has been a brilliant, compulsive, five-star mind trip of a series."
Mad Men,0,"With each new season, I try to remind myself that the show is a slow burn. The first episode wasn't as glacial as the first episode of last season, but it still dragged a bit."
1971: The Year That Music Changed Everything,1,"Here's one of the most all-encompassing and stunning music documentary experiences that I've ever seen. Allow the information to take hold and process, and you'll feel your own creativity and interests blossom."
Six Feet Under,1,"To me, it was one of the most clever, funny, subversive, wicked, playful and tender shows ever to emerge from the US. It tackled the big themes: family, the importance of friendship, bonds between human beings."
Pieces of Her,0,"Well acted and highly suspenseful, the eight-part Netflix thriller “Pieces of Her” never lets up. This is a good thing for the first five episodes. Then it grows exhausting."
Brave New World,0,"Huxley's novel was revolutionary when it was published nearly 90 years ago, but the show has turned it into just another piece of consumer content."
The Summer I Turned Pretty,1,The Summer I Turned Pretty is a can’t miss summer watch. The changes from the books fill out this world and bring viewers deeper into it. The young cast is stellar and the music perfectly soundtracks the season.
Midnight Mass,1,"Midnight Mass has a number of issues (especially with its long, winding monologues), but it is saved by its strong cast."
Rome,1,Navigates the high-wire act of jumping significant periods of time between episodes - sometimes years - and remaining just as engrossing as episodes in the first season.
Midnight Mass,1,A culmination of everything Flanagan has gained and learned throughout his career. MIDNIGHT MASS is the filmmaker at his most vulnerable and most introspective.
Hawkeye,1,"Returning to the simplicity of the franchise's first phase, the series is ground-level MCU at its very finest. As someone who never thought a Hawkeye-centric production would EVER work, I'm pleasantly surprised at how great this show is."
Big Little Lies,1,"Forget Mies van der Rohe. Sometimes you have to listen to Cecil B. DeMille. In other words, less isn't always more; sometimes only more is more."
The Outsider,1,"The Outsider pulls off a remarkable high-wire balancing act... It's classic King, this eruption of the otherworldly in the midst of Middle American normality."
Marvel's Daredevil,1,There are things to love. There are things not to love. Matt is great. Fisk is great. Bullseye is awesome. Everything not involving those three people is... okay.
Mindhunter,1,"By yanking [Holden Ford] into season 2, a story with more nuance and care than he seems capable of, the series holds a mirror to the revered concept of the callous genius."
Key & Peele,1,"So...goodbye, valets. Goodbye, substitute teacher. Goodbye, Hingle McCringleberry. We'll never forget you (or be able to say your name without giggling)."
Community,1,"It might not be exactly the same, but it's still better than most shows in its genre are."
Marvel's Luke Cage,1,"While season 2 is far from perfect, it not only avoids the sophomore slump, it surpasses season 1 through a relentless focus on how both its heroes and villains are defined by their families."
Battlestar Galactica,1,"Tonight's episode is superb, and barrels - relentlessly - toward the answers."
Winning Time: The Rise of the Lakers Dynasty,1,"Whether this season's wins, losses and drama are etched in your memory or you are coming in cold, the risk and tension feels as real as the rivalries, and it's all leavened by an insouciant sense of humor."
Veep,1,"The writing continues to be crisp, the humor remains potent, and a recovering Julia Louis-Dreyfus hasn't missed a beat."
Bodyguard,1,"Stream it - it's one of the best first episodes we've seen all year, and it feels like the wild ride of Bodyguard is just getting started."
Twin Peaks,1,It is simultaneously heartbreaking and absolute entertainment gold.
Stranger Things,1,"With season 4, Stranger Things retains being one of the compelling new shows in this generation’s zeitgeist. A season that excites, intrigues and is highly satisfying from beginning to end. Well, almost the end."
The Witcher,1,"Overall, The Witcher season 2 is a worthy continuation to season 1, and a great bridge for so much more Witcher to come on Netflix."
Treadstone,1,There's really only one thing you need to know about the new USA series Treadstone: the fight scenes are incredibly dope.
Breaking Bad,1,"The episode is as marvelous, deranged and unsettling as anything series creator/executive producer Vince Gilligan and his team have done."
Anatomy of a Scandal,1,"For all its flaws, Anatomy of a Scandal is a more-ish show that at least has a curiosity about the equally flawed world in which we live."
The Capture,1,"In the end, as an intricately woven plot - often thrillingly anchored in the issue of constant surveillance - moves toward its final revelation, you could say it's about powerful people manipulating less powerful people."
A Very English Scandal,1,"Grant's Thorpe is charismatic company yet essentially deeply sad, a stranger even to himself. It's a very English kind of suffering."
Tehran,1,A thriller so hectic it makes Homeland look like one of those ambient noise apps that send you off to sleep.
The Thing About Pam,1,"The Thing About Pam has some serious tonal issues, but it’s not without some merit. Zellwegger is good, the prosthetic notwithstanding, and Fleshler is an outstanding character actor."
Loot,1,"The cast holds its own and makes Loot an easy watch, with the season finale perfectly setting up what could potentially be a far more uncompromising future of the show."
Devs,1,"Devs moves a little slowly, but the performances are top-notch and the story is intriguing enough to put up with some of Garland's indulgences."
Loki,1,It's like Marvel meets Brazil and I'm here for it.
Central Park,1,The witty wordplay in the musical makes a great thoughtful comedic counterbalance to the bathroom gags.
Tokyo Vice,1,"Tokyo Vice has some narrative problems as hard to miss as a flashing neon sign, but it's kept watchable by its slick style and strong performances until its story picks up. Once it does, it's pretty engrossing. It just takes longer than it should."
Once Upon a Time in Wonderland,1,"For this to work -- and right now, it looks like Oz during a shutdown -- Wonderland needs the sort of recognizable human types who drive ""Time."""
Intimacy,1,"The series is at its best when it shows the historically ingrained ways in which society blames a victim, and how [the prejudices] extend to businessmen, government employees and even family, instilling fear, shame and blame. [Full review in Spanish]"
Midnight Mass,1,[Flanagan] manages to have fun with the most macabre symbolism of Catholicism while asking pertinent questions around the confirmation bias of fanaticism and the banality of mob violence.
Stranger Things,0,"What we're left with is a disjointed poorer show. One that's trying to go in various directions, but doesn't always have the room for it, despite the crazy runtimes. I'm afraid Stranger Things 4 has gotten too big for its own good."
Moon Knight,1,"Four episodes in, Moon Knight is a bonkers blend of action adventure, comedy and horror. And Oscar Isaac is key to bringing it all together. He can really do everything -- even in one single show!"
Waco,1,Taylor Kitsch disappears effortlessly into the role.
Lost,0,The series squandered its final season in a misguided effort to transform its trademark narrative ingenuity into a grand metaphysical statement.
My Brilliant Friend,1,"For those who luxuriated in its first two seasons, it remains as gorgeous and seductive as ever."
WandaVision,1,"Elizabeth Olsen is a powerhouse, it require guts to start the MCU television history with a sitcom mashup. Marvel took their best female character and developed the hell out of it. Amazing show. [Full review in Spanish]"
Brave New World,0,"Slick, expensive-looking and with the biggest name behind it, ""Brave"" should have been Peacock's best offering, but instead is its biggest flop."
The Shrink Next Door,0,"It's a deeply terrifying story of manipulation and abuse that plays like a comedy, sometimes when it doesn't mean to, but isn't all that funny when it's trying to be."
Godless,1,"It gets way more right than wrong as an outstanding cast, memorable characters, engaging arcs, beautiful shots of the majestic frontier, and one hell of a finale (oh yes, it's pretty savage) bring us a uniquely bewitching and exciting story."
The Afterparty,1,"For as much as the format trickery forms the spine of The Afterparty, the show becomes more intriguing and much funnier than it might've been thanks to the sharp actors embodying each different genre."
